Date,Latitude,Longitude,Sea_Surface_Temperature,Year,Month_Number,Month,Day,Day_of_Year,Week,Quarter,Hemisphere,Season,Average_SST,SST_Anomaly,Heatwave_Risk,Risk_Label,Corrected_Lon
2024-01-04,-19.875,10.125,21.949999,2024,1,January,4,4,1,1,Southern,Winter,20.636333,1.3136659999999978,Watch,1,10.125
2024-01-04,-19.875,330.125,27.71,2024,1,January,4,4,1,1,Southern,Winter,26.373999,1.3360009999999996,Watch,1,-29.875
2024-01-04,-19.875,340.125,26.16,2024,1,January,4,4,1,1,Southern,Winter,24.853333,1.306667000000001,Watch,1,-19.875
2024-01-04,-19.875,350.125,24.34,2024,1,January,4,4,1,1,Southern,Winter,23.162333,1.1776669999999996,Watch,1,-9.875
2024-01-04,-9.875,0.125,26.109999,2024,1,January,4,4,1,1,Southern,Winter,24.541666,1.568332999999999,Watch,1,0.125
2024-01-04,-9.875,10.125,28.68,2024,1,January,4,4,1,1,Southern,Winter,26.891666,1.788333999999999,Watch,1,10.125
2024-01-04,-9.875,340.125,26.99,2024,1,January,4,4,1,1,Southern,Winter,25.703667,1.286332999999999,Watch,1,-19.875
2024-01-04,-9.875,350.125,26.39,2024,1,January,4,4,1,1,Southern,Winter,24.726,1.6640000000000017,Watch,1,-9.875
2024-01-04,0.125,0.125,29.06,2024,1,January,4,4,1,1,Northern,Winter,27.918,1.1419999999999997,Watch,1,0.125
2024-01-04,0.125,330.125,28.269999,2024,1,January,4,4,1,1,Northern,Winter,27.254,1.0159989999999972,Watch,1,-29.875
2024-01-04,10.125,300.125,28.72,2024,1,January,4,4,1,1,Northern,Winter,27.291,1.4289999999999985,Watch,1,-59.875
2024-01-04,10.125,310.125,28.17,2024,1,January,4,4,1,1,Northern,Winter,27.007666,1.1623340000000013,Watch,1,-49.875
2024-01-04,10.125,340.125,27.98,2024,1,January,4,4,1,1,Northern,Winter,26.736332,1.2436679999999996,Watch,1,-19.875
2024-01-05,-19.875,0.125,23.58,2024,1,January,5,5,1,1,Southern,Winter,21.844334,1.7356659999999984,Watch,1,0.125
2024-01-05,-19.875,10.125,22.18,2024,1,January,5,5,1,1,Southern,Winter,20.679667,1.5003330000000012,Watch,1,10.125
2024-01-05,-19.875,330.125,27.689999,2024,1,January,5,5,1,1,Southern,Winter,26.397,1.2929990000000018,Watch,1,-29.875
2024-01-05,-19.875,340.125,26.21,2024,1,January,5,5,1,1,Southern,Winter,24.882666,1.3273340000000005,Watch,1,-19.875
2024-01-05,-19.875,350.125,24.5,2024,1,January,5,5,1,1,Southern,Winter,23.188334,1.3116659999999989,Watch,1,-9.875
2024-01-05,-9.875,0.125,26.3,2024,1,January,5,5,1,1,Southern,Winter,24.590666,1.709334000000002,Watch,1,0.125
2024-01-05,-9.875,10.125,28.529999,2024,1,January,5,5,1,1,Southern,Winter,26.922333,1.6076660000000018,Watch,1,10.125
2024-01-05,-9.875,340.125,27.039999,2024,1,January,5,5,1,1,Southern,Winter,25.684332,1.3556670000000004,Watch,1,-19.875
2024-01-05,-9.875,350.125,26.43,2024,1,January,5,5,1,1,Southern,Winter,24.804667,1.6253330000000012,Watch,1,-9.875
2024-01-05,0.125,0.125,28.96,2024,1,January,5,5,1,1,Northern,Winter,27.881332,1.0786680000000004,Watch,1,0.125
2024-01-05,10.125,300.125,28.66,2024,1,January,5,5,1,1,Northern,Winter,27.285,1.375,Watch,1,-59.875
2024-01-05,10.125,310.125,28.06,2024,1,January,5,5,1,1,Northern,Winter,26.992666,1.067333999999999,Watch,1,-49.875
2024-01-05,10.125,340.125,27.91,2024,1,January,5,5,1,1,Northern,Winter,26.682667,1.2273330000000016,Watch,1,-19.875
2024-01-06,-19.875,0.125,23.6,2024,1,January,6,6,1,1,Southern,Winter,21.891333,1.708667000000002,Watch,1,0.125
2024-01-06,-19.875,10.125,22.199999,2024,1,January,6,6,1,1,Southern,Winter,20.768,1.4319989999999976,Watch,1,10.125
2024-01-06,-19.875,330.125,27.59,2024,1,January,6,6,1,1,Southern,Winter,26.513332,1.0766680000000015,Watch,1,-29.875
2024-01-06,-19.875,340.125,26.17,2024,1,January,6,6,1,1,Southern,Winter,24.886,1.2840000000000025,Watch,1,-19.875
2024-01-06,-19.875,350.125,24.49,2024,1,January,6,6,1,1,Southern,Winter,23.180666,1.3093339999999998,Watch,1,-9.875
2024-01-06,-9.875,0.125,26.369999,2024,1,January,6,6,1,1,Southern,Winter,24.639666,1.7303330000000017,Watch,1,0.125
2024-01-06,-9.875,10.125,28.5,2024,1,January,6,6,1,1,Southern,Winter,26.916666,1.583334000000001,Watch,1,10.125
2024-01-06,-9.875,340.125,27.07,2024,1,January,6,6,1,1,Southern,Winter,25.668999,1.4010010000000008,Watch,1,-19.875
2024-01-06,-9.875,350.125,26.49,2024,1,January,6,6,1,1,Southern,Winter,24.865334,1.6246659999999975,Watch,1,-9.875
2024-01-06,10.125,300.125,28.66,2024,1,January,6,6,1,1,Northern,Winter,27.296665,1.3633349999999993,Watch,1,-59.875
2024-01-06,10.125,310.125,28.039999,2024,1,January,6,6,1,1,Northern,Winter,26.958666,1.0813330000000008,Watch,1,-49.875
2024-01-06,10.125,340.125,27.88,2024,1,January,6,6,1,1,Northern,Winter,26.575333,1.3046669999999985,Watch,1,-19.875
2024-01-07,-19.875,0.125,23.529999,2024,1,January,7,7,1,1,Southern,Winter,21.92,1.6099989999999984,Watch,1,0.125
2024-01-07,-19.875,10.125,22.1,2024,1,January,7,7,1,1,Southern,Winter,20.858,1.2420000000000009,Watch,1,10.125
2024-01-07,-19.875,340.125,26.13,2024,1,January,7,7,1,1,Southern,Winter,24.919666,1.2103339999999996,Watch,1,-19.875
2024-01-07,-19.875,350.125,24.5,2024,1,January,7,7,1,1,Southern,Winter,23.145666,1.3543340000000017,Watch,1,-9.875
2024-01-07,-9.875,0.125,26.449999,2024,1,January,7,7,1,1,Southern,Winter,24.724667,1.725331999999998,Watch,1,0.125
2024-01-07,-9.875,10.125,28.41,2024,1,January,7,7,1,1,Southern,Winter,27.005333,1.404667,Watch,1,10.125
2024-01-07,-9.875,340.125,27.09,2024,1,January,7,7,1,1,Southern,Winter,25.679667,1.4103330000000014,Watch,1,-19.875
2024-01-07,-9.875,350.125,26.529999,2024,1,January,7,7,1,1,Southern,Winter,24.889332,1.6406670000000003,Watch,1,-9.875
2024-01-07,10.125,300.125,28.68,2024,1,January,7,7,1,1,Northern,Winter,27.227333,1.4526669999999982,Watch,1,-59.875
2024-01-07,10.125,310.125,28.099998,2024,1,January,7,7,1,1,Northern,Winter,26.992332,1.1076659999999985,Watch,1,-49.875
2024-01-07,10.125,340.125,27.849998,2024,1,January,7,7,1,1,Northern,Winter,26.423666,1.4263319999999986,Watch,1,-19.875
2024-01-08,-19.875,0.125,23.519999,2024,1,January,8,8,2,1,Southern,Winter,22.012,1.507998999999998,Watch,1,0.125
2024-01-08,-19.875,330.125,27.56,2024,1,January,8,8,2,1,Southern,Winter,26.493332,1.066668,Watch,1,-29.875
2024-01-08,-19.875,340.125,26.16,2024,1,January,8,8,2,1,Southern,Winter,24.972,1.1879999999999988,Watch,1,-19.875
2024-01-08,-19.875,350.125,24.56,2024,1,January,8,8,2,1,Southern,Winter,23.136,1.4239999999999997,Watch,1,-9.875
2024-01-08,-9.875,0.125,26.5,2024,1,January,8,8,2,1,Southern,Winter,24.786999,1.7130009999999984,Watch,1,0.125
2024-01-08,-9.875,10.125,28.26,2024,1,January,8,8,2,1,Southern,Winter,27.151,1.1090000000000018,Watch,1,10.125
2024-01-08,-9.875,340.125,27.08,2024,1,January,8,8,2,1,Southern,Winter,25.797667,1.2823329999999975,Watch,1,-19.875
2024-01-08,-9.875,350.125,26.51,2024,1,January,8,8,2,1,Southern,Winter,24.931334,1.578666000000002,Watch,1,-9.875
2024-01-08,10.125,300.125,28.71,2024,1,January,8,8,2,1,Northern,Winter,27.18,1.5300000000000011,Watch,1,-59.875
2024-01-08,10.125,310.125,28.14,2024,1,January,8,8,2,1,Northern,Winter,26.984333,1.155667000000001,Watch,1,-49.875
2024-01-08,10.125,340.125,27.91,2024,1,January,8,8,2,1,Northern,Winter,26.347332,1.5626679999999986,Watch,1,-19.875
2024-01-09,-19.875,0.125,23.529999,2024,1,January,9,9,2,1,Southern,Winter,22.071999,1.4579999999999984,Watch,1,0.125
2024-01-09,-19.875,330.125,27.619999,2024,1,January,9,9,2,1,Southern,Winter,26.535334,1.084665000000001,Watch,1,-29.875
2024-01-09,-19.875,340.125,26.23,2024,1,January,9,9,2,1,Southern,Winter,24.963667,1.2663329999999997,Watch,1,-19.875
2024-01-09,-19.875,350.125,24.6,2024,1,January,9,9,2,1,Southern,Winter,23.216,1.3840000000000003,Watch,1,-9.875
2024-01-09,-9.875,0.125,26.51,2024,1,January,9,9,2,1,Southern,Winter,24.896,1.6140000000000008,Watch,1,0.125
2024-01-09,-9.875,340.125,27.09,2024,1,January,9,9,2,1,Southern,Winter,25.880333,1.2096669999999996,Watch,1,-19.875
2024-01-09,-9.875,350.125,26.529999,2024,1,January,9,9,2,1,Southern,Winter,24.956999,1.5730000000000004,Watch,1,-9.875
